lat,long,cluster,isCenter
37.77253945,-77.49954987,0,0.01
39.56341754,-75.58753204,0,0.01
38.9537989,-77.01656342,0,0.01
39.90031211,-75.74486542,0,0.01
40.49826888,-74.16846466,0,0.01
39.51639552,-77.81656647,0,0.01
41.30755919,-73.79240417,0,0.01
42.38698723,-70.92178345,0,0.01
38.70400011,-77.17221832,0,0.01
42.72659007,-73.8391571,0,0.01
40.40200598,-74.30738068,0,0.01
43.06551173,-78.81848907,0,0.01
39.2091752,-77.24200439,0,0.01
42.94410863,-77.70864105,0,0.01
41.29609903,-73.42475891,0,0.01
40.5936561,-74.38737488,0,0.01
40.16956608,-76.90759277,0,0.01
41.91500357,-73.91139221,0,0.01
42.43723425,-78.49629211,0,0.01
39.26348791,-77.70367432,0,0.01
39.08440899,-77.26223755,0,0.01
40.96860817,-73.99507904,0,0.01
40.66315615,-74.00758362,0,0.01
33.49778153,-79.2942276,0,0.01
41.18378848,-72.05337524,0,0.01
41.02855794,-74.42582703,0,0.01
38.64684346,-78.625,0,0.01
40.24174172,-76.80252075,0,0.01
35.7160912,-78.59965515,0,0.01
38.70491425,-77.39704895,0,0.01
42.11043676,-71.86470032,0,0.01
40.71216987,-73.82091522,0,0.01
35.94809298,-78.58233643,0,0.01
39.81904349,-75.16519928,0,0.01
40.79862063,-73.82739258,0,0.01
40.89966466,-73.03201294,0,0.01
40.79097809,-77.81365967,0,0.01
40.71095957,-73.84331512,0,0.01
39.75358048,-74.87420654,0,0.01
43.17073272,-78.8776474,0,0.01
41.79512051,-71.09105682,0,0.01
39.61895807,-74.99985504,0,0.01
40.565611,-74.12508392,0,0.01
43.20433882,-76.21143341,0,0.01
41.39501876,-72.10610962,0,0.01
40.49962673,-78.83527374,0,0.01
43.05849728,-78.78631592,0,0.01
40.87577877,-73.72009277,0,0.01
41.57270258,-70.50775909,0,0.01
34.9903571,-79.4114151,0,0.01
40.08338027,-75.39187622,0,0.01
39.58968755,-75.51197815,0,0.01
38.6902368,-77.56617737,0,0.01
36.00553618,-78.61859131,0,0.01
41.75059946,-72.71137238,0,0.01
37.44606802,-76.49919891,0,0.01
42.65036874,-78.63183594,0,0.01
41.36665769,-73.08635712,0,0.01
40.75933392,-73.1709137,0,0.01
38.76686427,-77.51100922,0,0.01
40.29664424,-74.80387115,0,0.01
39.31473826,-77.16085052,0,0.01
40.92984056,-74.1227951,0,0.01
40.94637994,-75.59181213,0,0.01
43.07530109,-78.50141907,0,0.01
38.81062424,-76.56083679,0,0.01
39.47607093,-77.42384338,0,0.01
36.39155688,-78.41521454,0,0.01
40.86918546,-73.85417938,0,0.01
43.17274337,-75.27752686,0,0.01
43.16414461,-73.66059113,0,0.01
40.20737972,-75.65641785,0,0.01
37.54164559,-77.40982819,0,0.01
36.74492945,-76.56487274,0,0.01
38.0653247,-76.86595917,0,0.01
41.13613548,-73.54245758,0,0.01
40.71313403,-73.84320831,0,0.01
41.96660738,-71.00795746,0,0.01
37.99763738,-76.86608887,0,0.01
41.28081815,-75.80066681,0,0.01
40.87540249,-73.90268707,0,0.01
36.80032904,-76.42006683,0,0.01
40.80542974,-74.01306152,0,0.01
36.80065303,-76.63272858,0,0.01
40.1716587,-74.92520142,0,0.01
42.35960699,-72.4056778,0,0.01
41.25822077,-73.297966,0,0.01
